original music: The Beatles - It Won't Be Long.txt
original tags: ['classic rock', 'rock', '60s', 'british', 'The Beatles']
original wiki: None
0.000000 1.072266 N
1.072266 1.773285 F#
1.773285 5.216719 C#:min
5.216719 8.757762 E
8.757762 10.510869 C#:min
10.510869 11.404837 A
11.404837 12.263975 G:dim7
12.263975 14.017082 E
14.017082 15.770189 E
15.770189 17.488465 E
17.488465 19.253182 C
19.253182 21.041118 E
21.041118 22.829055 E
22.829055 24.616991 C
24.616991 26.370098 E
26.370098 28.158034 E
28.158034 31.687468 C#:min
31.687468 35.298170 E
35.298170 37.074497 C#:min
37.074497 37.980075 A
37.980075 38.839214 G:dim7
38.839214 42.415087 E
42.415087 44.203023 E
44.203023 45.967740 B:aug/3
45.967740 47.802116 B:min/b3
47.802116 49.601663 C#:7
49.601663 51.401209 A
51.401209 53.212366 B
53.212366 54.988692 F#:min7
54.988692 56.683749 B
56.683749 58.471685 E
58.471685 60.271232 C
60.271232 62.082388 E
62.082388 63.870325 E
63.870325 65.716311 C
65.716311 67.492638 E
67.492638 69.303794 E
69.303794 72.914497 C#:min
72.914497 76.513590 E
76.513590 78.301527 C#:min
78.301527 79.207105 A
79.207105 80.112683 G:dim7
80.112683 81.900619 E
81.900619 83.734996 E
83.734996 85.511322 E
85.511322 87.322479 B:aug/3
87.322479 89.180075 B:min/b3
89.180075 91.037672 C#:7
91.037672 92.802388 A
92.802388 94.625155 B
94.625155 96.424701 F#:min7
96.424701 98.131368 B
98.131368 99.930914 E
99.930914 101.718851 C
101.718851 103.530007 E
103.530007 105.341164 E
105.341164 107.175540 C
107.175540 108.975087 E
108.975087 110.797853 E
110.797853 114.420166 C#:min
114.420166 118.019259 E
118.019259 119.900075 C#:min
119.900075 120.948017 A
120.948017 122.996812 G:dim7
122.996812 124.079667 E
124.079667 124.799486 G:7
124.799486 125.751504 F#:7
125.751504 126.715132 F:7
126.715132 130.062280 E:maj7
130.062280 133.746939 N

relative music: The Beatles - It's Only Love.txt
relative tags: ['classic rock', '60s', 'rock', 'The Beatles', 'pop']
relative wiki: APPEARS ON THE U.S. RELEASE OF "RUBBER SOUL"  ----   "It's Only Love" was composed with the working title "That's A Nice Hat". Lennon had the original idea for the song, and completed it with McCartney at his home in Weybridge.

In 1980 Lennon told Playboy journalist David Sheff: "I always thought it was a lousy song. The lyrics were abysmal. I always hated that song."

In his 1994 biography Paul McCartney: Many Years from Now, McCartney said of the <a href="http://www.last.fm/music/The+Beatles/_/It%27s+Only+Love">Read more on Last.fm</a>.
0.000000 0.459543 N
0.459543 2.490907 C
2.490907 4.534263 A:min
4.534263 6.612448 C
6.612448 8.725464 A:min
8.725464 9.770362 C
9.770362 10.884920 E:min/5
10.884920 11.918208 Bb
11.918208 12.963106 F
12.963106 15.064512 G
15.064512 17.165918 G:aug
17.165918 18.280476 C
18.280476 19.325374 E:min/5
19.325374 20.416712 Bb
20.416712 21.496439 F
21.496439 23.563015 G
23.563015 25.687641 G:aug
25.687641 27.800657 F
27.800657 29.948503 G
29.948503 32.084739 C
32.084739 34.197755 A:min
34.197755 36.322380 Bb
36.322380 38.481836 G
38.481836 40.606462 C
40.606462 42.754308 A:min
42.754308 44.820884 Bb
44.820884 46.957120 G
46.957120 49.081746 F
49.081746 51.241201 G
51.241201 52.320929 C
52.320929 53.400657 E:min/5
53.400657 54.433945 Bb
54.433945 55.478843 F
55.478843 57.557029 G
57.557029 59.658435 G:aug
59.658435 60.738163 C
60.738163 61.806281 E:min/5
61.806281 62.874399 Bb
62.874399 63.919297 F
63.919297 66.032312 G
66.032312 68.156938 G:aug
68.156938 70.246734 F
70.246734 72.417800 G
72.417800 74.542426 C
74.542426 76.678662 A:min
76.678662 78.780068 Bb
78.780068 80.916303 G
80.916303 82.971269 C
82.971269 85.142335 A:min
85.142335 87.243741 Bb
87.243741 89.379977 G
89.379977 91.539433 F
91.539433 93.617619 G
93.617619 95.788684 F
95.788684 97.878480 G
97.878480 100.037936 C
100.037936 102.092902 A:min
102.092902 104.229138 C
104.229138 106.330544 A:min
106.330544 108.431950 C
108.431950 110.544965 A:min
110.544965 115.019700 C
115.019700 118.804898 N
--------
