original music: The Beatles - P.txt
original tags: []
original wiki: None
0.000000 0.465069 N
0.465069 1.397949 G
1.397949 2.338358 C#:7
2.338358 4.114683 D
4.114683 4.973822 G
4.973822 5.844570 C#:7
5.844570 7.644118 D
7.644118 8.549696 G
8.549696 9.408834 C#:7
9.408834 11.219991 D
11.219991 12.113959 D
12.113959 12.996317 A
12.996317 14.772644 D
14.772644 16.560579 D
16.560579 18.302076 E:min
18.302076 20.066792 D
20.066792 21.866339 A
21.866339 23.689106 B:min
23.689106 25.453822 A
25.453822 28.147337 Bb
28.147337 28.611736 Bb
28.611736 29.052915 C
29.052915 32.582349 D
32.582349 34.405114 D
34.405114 36.146611 E:min
36.146611 37.934548 D
37.934548 39.757314 A
39.757314 41.545251 B:min
41.545251 43.309967 A
43.309967 46.003482 Bb
46.003482 46.491101 Bb
46.491101 46.932280 C
46.932280 50.461714 D
50.461714 52.238039 G
52.238039 54.037586 D
54.037586 55.860352 G
55.860352 57.636679 D
57.636679 59.436225 G
59.436225 61.200942 D
61.200942 62.118130 D
62.118130 63.046928 A
63.046928 64.788426 D
64.788426 66.646022 D
66.646022 68.375908 E:min
68.375908 70.163844 D
70.163844 71.998221 A
71.998221 73.751328 B:min
73.751328 75.527654 A
75.527654 78.221170 Bb
78.221170 78.662348 Bb
78.662348 79.126747 C
79.126747 82.656181 D
82.656181 84.455727 G
84.455727 86.255274 D
86.255274 88.031600 G
88.031600 89.796317 D
89.796317 91.572643 G
91.572643 93.348969 D
93.348969 94.225395 D
94.225395 95.148516 A
95.148516 96.971283 D
96.971283 98.782439 D
98.782439 100.570375 E:min
100.570375 102.311872 D
102.311872 104.157859 A
104.157859 105.945796 B:min
105.945796 107.687292 A
107.687292 110.427246 Bb
110.427246 110.868426 Bb
110.868426 111.332825 C
111.332825 113.985730 D
113.985730 114.479129 Bb
114.479129 114.908698 C
114.908698 117.590603 D
117.590603 118.066611 Bb
118.066611 118.542620 C
118.542620 121.759660 D
121.759660 125.753469 N

relative music: The Beatles - Penny Lane.txt
relative tags: ['classic rock', '60s', 'rock', 'pop', 'The Beatles']
relative wiki: "Penny Lane" is a song by The Beatles, written by Paul McCartney, recorded during the Sgt. Pepper sessions, and released in February 1967 as one side of a double A-sided single, along with John Lennon's "Strawberry Fields Forever". Beatles producer George Martin has stated he believes the pairing of these songs resulted in probably the greatest single ever released by the group. Both songs were later released on the US Magical Mystery Tour album in November 1967. <a href="http://www.last.fm/music/The+Beatles/_/Penny+Lane">Read more on Last.fm</a>.
0.000000 0.440395 N
0.440395 1.689818 B
1.689818 2.209188 B/7
2.209188 2.746326 B/6
2.746326 3.280385 B/5
3.280385 3.849274 E:maj6
3.849274 4.406553 C#:min7
4.406553 4.940612 F#:sus4
4.940612 5.486281 F#
5.486281 6.020340 B
6.020340 6.577619 B/7
6.577619 7.123287 B/6
7.123287 7.634126 B/5
7.634126 9.747142 B:min
9.747142 11.871768 G#:hdim7
11.871768 14.008004 G:maj7
14.008004 15.052902 F#:sus4
15.052902 16.121020 F#
16.121020 17.189138 F#:sus4
17.189138 18.257256 F#
18.257256 18.802925 B
18.802925 19.348594 B/7
19.348594 19.882653 B/6
19.882653 20.451541 B/5
20.451541 20.997210 E:maj6
20.997210 21.531269 C#:min7
21.531269 22.053718 F#:sus4
22.053718 22.610997 F#
22.610997 23.133446 B
23.133446 23.655895 B/7
23.655895 24.155124 B/6
24.155124 24.689183 B/5
24.689183 26.837029 B:min
26.837029 28.891995 G#:hdim7
28.891995 31.005011 G:maj7
31.005011 32.038091 F#:sus4
32.038091 33.141247 F#
33.141247 35.323922 E
35.323922 37.425328 A
37.425328 39.491904 A/3
39.491904 43.659886 D
43.659886 45.772902 A
45.772902 47.851088 A/3
47.851088 49.940884 D
49.940884 52.100340 F#
52.100340 52.634399 B
52.634399 53.156848 B/7
53.156848 53.690907 B/6
53.690907 54.224965 B/5
54.224965 54.735804 E:maj6
54.735804 55.269863 C#:min7
55.269863 55.803922 F#:sus4
55.803922 56.326371 F#
56.326371 56.848820 B
56.848820 57.371269 B/7
57.371269 57.928548 B/6
57.928548 58.427777 B/5
58.427777 60.587233 B:min
60.587233 62.665419 G#:hdim7
62.665419 64.801655 G:maj7
64.801655 65.834943 F#:sus4
65.834943 66.926281 F#
66.926281 67.971179 F#:sus4
67.971179 69.039297 F#
69.039297 69.596575 B
69.596575 70.119024 B/7
70.119024 70.595034 B/6
70.595034 71.117482 B/5
71.117482 71.651541 E:maj6
71.651541 72.197210 C#:min7
72.197210 72.731269 F#:sus4
72.731269 73.276938 F#
73.276938 73.787777 B
73.787777 74.333446 B/7
74.333446 74.809455 B/6
74.809455 75.331904 B/5
75.331904 77.491360 B:min
77.491360 79.546326 G#:hdim7
79.546326 81.647732 G:maj7
81.647732 82.704240 F#:sus4
82.704240 83.807188 F#
83.807188 85.966643 E
85.966643 88.114489 A
88.114489 90.192675 A/3
90.192675 94.395487 D
94.395487 96.485283 A
96.485283 98.598299 A/3
98.598299 100.688095 D
100.688095 102.870770 F#
102.870770 103.416439 B
103.416439 103.915668 B/7
103.915668 104.438117 B/6
104.438117 104.948956 B/5
104.948956 105.483015 E:maj6
105.483015 106.017074 C#:min7
106.017074 106.597573 F#:sus4
106.597573 107.096802 F#
107.096802 107.619251 B
107.619251 108.141700 B/7
108.141700 108.687369 B/6
108.687369 109.198208 B/5
109.198208 111.334444 B:min
111.334444 113.424240 G#:hdim7
113.424240 115.525646 G:maj7
115.525646 116.582154 F#:sus4
116.582154 117.661882 F#
117.661882 118.741609 F#:sus4
118.741609 119.751678 F#
119.751678 120.297346 B
120.297346 120.843015 B/7
120.843015 121.377074 B/6
121.377074 121.876303 B/5
121.876303 122.410362 E:maj6
122.410362 122.956031 C#:min7
122.956031 123.478480 F#:sus4
123.478480 123.989319 F#
123.989319 124.511768 B
124.511768 125.022607 B/7
125.022607 125.556666 B/6
125.556666 126.079115 B/5
126.079115 128.238571 B:min
128.238571 130.293537 G#:hdim7
130.293537 132.441383 G:maj7
132.441383 133.463061 F#:sus4
133.463061 134.519569 F#
134.519569 136.667414 E
136.667414 138.780430 A
138.780430 140.905056 A/3
140.905056 145.096258 D
145.096258 147.278934 A
147.278934 149.345510 A/3
149.345510 151.499683 D
151.499683 153.617981 F#
153.617981 155.696167 B
155.696167 157.844013 B/3
157.844013 161.988775 E
161.988775 164.183061 B
164.183061 166.179977 B/3
166.179977 168.281383 E
168.281383 170.359569 E/5
170.359569 178.428418 B
178.428418 183.379592 N
--------
