original music: The Beatles - Any Time At All.txt
original tags: ['classic rock', '60s', 'rock', 'british', 'pop']
original wiki: None
0.000000 0.440395 N
0.440395 1.654988 N
1.654988 3.117845 B:min
3.117845 4.963832 D
4.963832 8.319115 A
8.319115 9.979342 B:min
9.979342 10.861700 G
10.861700 11.697619 A
11.697619 15.029682 D
15.029682 16.701519 D
16.701519 18.373356 F#:min/5
18.373356 20.080022 B:min
20.080022 21.740249 G:min/b3
21.740249 23.446916 D/5
23.446916 25.083922 A/3
25.083922 26.767369 D
26.767369 28.474036 F#:min/5
28.474036 30.134263 B:min
30.134263 31.806099 G:min/b3
31.806099 33.477936 D/5
33.477936 35.138163 A/3
35.138163 38.528276 D
38.528276 40.084013 B:min
40.084013 41.930000 D
41.930000 45.320113 A
45.320113 47.003560 B:min
47.003560 47.885918 G
47.885918 48.721836 A
48.721836 52.111950 D
52.111950 53.830226 D
53.830226 55.536893 F#:min/5
55.536893 57.243560 B:min
57.243560 58.915396 G:min/b3
58.915396 60.610453 D/5
60.610453 62.282290 A/3
62.282290 63.977346 D
63.977346 65.684013 F#:min/5
65.684013 67.390680 B:min
67.390680 69.132176 G:min/b3
69.132176 70.792403 D/5
70.792403 72.475850 A/3
72.475850 74.205736 D
74.205736 75.958843 D
75.958843 77.421700 B:min
77.421700 79.337346 D
79.337346 82.681020 A
82.681020 84.387687 B:min
84.387687 85.304875 G
85.304875 86.140793 A
86.140793 89.554126 D
89.554126 90.424875 A:7/5
90.424875 91.284013 B:min/5
91.284013 93.013900 A:7/b7
93.013900 93.849818 A:7/5
93.849818 94.685736 B:min/5
94.685736 95.846734 A:7/b7
95.846734 96.067324 A
96.067324 96.357573 G#
96.357573 97.495351 G
97.495351 97.762380 G
97.762380 98.052630 G#
98.052630 99.178798 A
99.178798 99.480657 A
99.480657 99.782517 G#
99.782517 101.512403 G
101.512403 103.219070 A
103.219070 106.644013 D
106.644013 108.153310 B:min
108.153310 110.057346 D
110.057346 113.517120 A
113.517120 115.247006 B:min
115.247006 116.117755 G
116.117755 116.976893 A
116.976893 118.730000 D
118.730000 120.413446 D
120.413446 122.131723 G
122.131723 123.826780 A
123.826780 129.016604 D
129.016604 133.407347 N

relative music: The Beatles - Ask Me Why.txt
relative tags: ['60s', 'classic rock', 'rock', 'pop', 'british']
relative wiki: None
0.000000 0.478690 N
0.478690 3.025323 E
3.025323 3.513909 E:maj7
3.513909 3.966698 F#:min7
3.966698 5.708194 G#:min7
5.708194 7.020122 F#:min7
7.020122 7.484521 B:7
7.484521 10.061936 E
10.061936 10.148439 E:maj7
10.503115 11.002344 F#:min7
11.002344 12.743841 G#:min7
12.743841 14.032548 F#:min7
14.032548 14.508557 B:7
14.508557 16.215224 E
16.215224 17.979940 G#
17.979940 21.462934 C#:min
21.462934 23.239260 A
23.239260 25.050417 F#:9
25.050417 25.979215 B
25.979215 26.443614 E:maj7
26.443614 26.931233 F#:min7
26.931233 28.707559 G#:min7
28.707559 29.999371 F#:min7
29.999371 30.483886 B:7
30.483886 33.101875 E
33.101875 33.560530 E:maj7
33.560530 34.024929 F#:min7
34.024929 35.789646 G#:min7
35.789646 37.531142 F#:min7
37.531142 39.307469 E
39.307469 41.083795 G#
41.083795 44.636448 C#:min
44.636448 46.416525 A
46.416525 48.200711 E
48.200711 50.046698 E:aug
50.046698 51.776584 A
51.776584 53.564521 B
53.564521 55.352457 E
55.352457 57.152004 E:aug
57.152004 58.916720 A
58.916720 60.693047 B
60.693047 62.859161 E
62.859161 63.328512 B
63.328512 63.769691 E:maj7
63.769691 64.222480 F#:min7
64.222480 65.917537 G#:min7
65.917537 67.705473 A
67.705473 69.481800 G#:min7
69.481800 71.304566 A:maj7
71.304566 74.020532 E
74.020532 74.462480 E:maj7
74.462480 74.973319 F#:min7
74.973319 76.749646 G#:min7
76.749646 78.096403 F#:min7
78.096403 78.572412 B:7
78.572412 81.265927 E
81.265927 81.718716 E:maj7
81.718716 82.217945 F#:min7
82.217945 83.971051 G#:min7
83.971051 85.341029 F#:min7
85.341029 85.782208 B:7
85.782208 87.581754 E
87.581754 89.334861 G#
89.334861 91.157627 C#:min
91.157627 92.910734 C#:min
92.910734 94.721890 A:min
94.721890 96.498217 F#:9
96.498217 97.445396 B
97.445396 97.949464 E:maj7
97.949464 98.425473 F#:min7
98.425473 100.201800 G#:min7
100.201800 101.966516 A
101.966516 103.800893 G#:min7
103.800893 105.565609 A
105.565609 107.353546 E
107.353546 109.141482 E:aug
109.141482 110.917809 A
110.917809 112.694135 B
112.694135 114.482072 E
114.482072 116.246788 E:aug
116.246788 118.023115 A
118.023115 119.768308 B
119.768308 121.940529 E
121.940529 122.423296 B
122.423296 122.864476 E:maj7
122.864476 123.294045 F#:min7
123.294045 125.047151 G#:min7
125.047151 126.823478 A
126.823478 128.611414 G#:min7
128.611414 130.394376 A:maj7
130.394376 132.210507 E
132.210507 133.998444 A:maj7/5
133.998444 135.774770 E
135.774770 137.585927 A:maj7/5
137.585927 139.243203 B:maj6
139.243203 143.982963 G#:min
143.982963 147.774694 N
--------
