original music: The Beatles - Things We Said Today.txt
original tags: ['classic rock', '60s', 'rock', 'pop', 'The Beatles']
original wiki: None
0.000000 0.402100 N
0.402100 4.046643 A:min
4.046643 5.131560 A:min
5.131560 6.242121 E:min
6.242121 6.912288 A:min
6.912288 7.984554 E:min
7.984554 8.635573 A:min
8.635573 9.650396 E:min
9.650396 10.301415 A:min
10.301415 11.411976 E:min
11.411976 12.101290 A:min
12.101290 13.135261 E:min
13.135261 13.786280 A:min
13.786280 14.839399 E:min
14.839399 15.509565 A:min
15.509565 16.524389 E:min
16.524389 17.758027 A:min
17.758027 19.499523 C
19.499523 21.217800 C:9
21.217800 22.936077 F
22.936077 24.677573 Bb
24.677573 25.804192 A:min
25.804192 26.839120 E:min
26.839120 29.322946 A:min
29.322946 29.926654 E:min
29.926654 31.608730 A:min
31.608730 33.385056 A:min
33.385056 34.549330 A:min
34.549330 35.549760 E:min
35.549760 38.033586 A:min
38.033586 39.085762 E:min
39.085762 41.414349 A:min
41.414349 42.518272 E:min
42.518272 44.933102 A:min
44.933102 45.605805 E:min
45.605805 47.293809 A:min
47.293809 49.012086 C
49.012086 50.718752 C:9
50.718752 52.495079 F
52.495079 54.190136 Bb
54.190136 55.334124 A:min
55.334124 56.041324 E:min
56.041324 58.835629 A:min
58.835629 59.508331 E:min
59.508331 61.237392 A
61.237392 62.920839 A
62.920839 64.685555 D
64.685555 66.427052 B
66.427052 68.133718 E:7
68.133718 69.851995 A
69.851995 71.593492 D
71.593492 73.311768 B
73.311768 75.041655 Bb
75.041655 76.256908 A:min
76.256908 76.877865 E:min
76.877865 79.758413 A:min
79.758413 80.362121 E:min
80.362121 83.225420 A:min
83.225420 83.898123 E:min
83.898123 86.709676 A:min
86.709676 87.399628 E:min
87.399628 89.136167 A:min
89.136167 90.866054 C
90.866054 92.642380 C:9
92.642380 94.360657 F
94.360657 96.136984 Bb
96.136984 97.214190 A:min
97.214190 97.904142 E:min
97.904142 100.732944 A:min
100.732944 101.422895 E:min
101.422895 103.149410 A
103.149410 104.821247 A
104.821247 106.597573 D
106.597573 108.304240 B
108.304240 110.092176 E:7
110.092176 111.752403 A
111.752403 113.482290 D
113.482290 115.235396 B
115.235396 116.930453 Bb
116.930453 118.136975 A:min
118.136975 118.757931 E:min
118.757931 121.552235 A:min
121.552235 122.276685 E:min
122.276685 125.088238 A:min
125.088238 125.726443 E:min
125.726443 128.606991 A:min
128.606991 129.210699 E:min
129.210699 131.024965 A:min
131.024965 132.720022 C
132.720022 134.519569 C:9
134.519569 136.261065 F
136.261065 137.990952 Bb
137.990952 139.111505 A:min
139.111505 139.766959 E:min
139.766959 142.647508 A:min
142.647508 143.337459 E:min
143.337459 153.219185 A:min
153.219185 158.850612 N

relative music: The Beatles - Think For Yourself.txt
relative tags: ['classic rock', 'rock', '60s', 'pop', 'The Beatles']
relative wiki: "Think For Yourself" is a song by The Beatles, written by George Harrison.

It's from their album Rubber Soul (1965). <a href="http://www.last.fm/music/The+Beatles/_/Think+for+Yourself">Read more on Last.fm</a>.
0.000000 0.421247 N
0.421247 3.512585 G
3.512585 3.791224 G
3.791224 4.093083 G#
4.093083 5.915850 A:min
5.915850 7.773446 D:min
7.773446 9.619433 Bb
9.619433 11.453809 C
11.453809 15.122562 G
15.122562 16.956938 A:min
16.956938 18.826145 D:min
18.826145 20.683741 Bb
20.683741 22.529727 C
22.529727 24.364104 G
24.364104 26.244920 A:min
26.244920 29.902063 C
29.902063 33.524376 G
33.524376 35.300702 Eb/5
35.300702 37.123469 D
37.123469 40.827052 G
40.827052 42.684648 A:min
42.684648 44.507414 D:min
44.507414 46.376621 Bb
46.376621 48.199387 C
48.199387 51.937800 G
51.937800 53.818616 A:min
53.818616 55.711043 D:min
55.711043 57.580249 Bb
57.580249 59.449455 C
59.449455 61.330272 G
61.330272 63.222698 A:min
63.222698 66.891451 C
66.891451 70.548594 G
70.548594 72.336530 Eb/5
72.336530 74.170907 D
74.170907 77.886099 G
77.886099 79.708866 A:min
79.708866 81.589682 D:min
81.589682 83.400839 Bb
83.400839 85.293265 C
85.293265 89.031678 G
89.031678 90.877664 A:min
90.877664 92.770090 D:min
92.770090 94.616077 Bb
94.616077 96.520113 C
96.520113 98.412539 G
98.412539 100.316575 A:min
100.316575 104.054988 C
104.054988 107.654081 G
107.654081 109.453628 Eb/5
109.453628 111.276394 D
111.276394 114.945147 G
114.945147 118.602290 C
118.602290 122.224603 G
122.224603 124.058979 Eb/5
124.058979 125.916575 D
125.916575 127.752862 C:7
127.752862 129.550498 G
129.550498 131.373265 Eb/5
131.373265 133.196031 D
133.196031 135.018798 C:7
135.018798 136.400385 G
136.400385 139.337143 N
--------
