original music: The Beatles - When I Get Home.txt
original tags: ['classic rock', 'rock', '60s', 'british', 'pop']
original wiki: None
0.000000 1.213809 N
1.213809 4.812902 A
4.812902 8.783514 A
8.783514 10.664331 D:9
10.664331 12.510317 G
12.510317 14.391133 A:min
14.391133 16.179070 G
16.179070 18.071496 C
18.071496 19.963922 F
19.963922 21.844739 C
21.844739 23.725555 F
23.725555 25.606371 C
25.606371 27.510408 F
27.510408 31.039841 G
31.039841 34.801473 A
34.801473 38.772086 A
38.772086 40.664512 D:9
40.664512 42.568548 G
42.568548 44.437755 A:min
44.437755 46.237301 G
46.237301 48.118117 C
48.118117 50.022154 F
50.022154 51.891360 C
51.891360 53.807006 F
53.807006 55.711043 C
55.711043 57.615079 F
57.615079 61.157470 G
61.157470 64.894535 A
64.894535 68.969637 A
68.969637 70.850453 D:9
70.850453 72.754489 G
72.754489 76.609002 A:min
76.609002 78.547868 C
78.547868 80.463514 A:min
80.463514 82.379160 C
82.379160 84.283197 A:min
84.283197 86.187233 F
86.187233 88.079659 G
88.079659 90.018526 F
90.018526 91.969002 G
91.969002 93.942698 A:min
93.942698 95.777074 G
95.777074 97.750770 C
97.750770 99.689637 F
99.689637 101.593673 C
101.593673 103.462879 F
103.462879 105.459795 C
105.459795 107.375442 F
107.375442 111.020975 G
111.020975 114.817437 A
114.817437 118.904149 A
118.904149 120.784965 D:9
120.784965 122.735442 G
122.735442 126.624784 A
126.624784 128.563650 D:9
128.563650 130.339977 G
130.339977 134.052426 C
134.052426 138.370612 N

relative music: The Beatles - When I'm Sixty.txt
relative tags: []
relative wiki: None
0.000000 0.344657 N
0.344657 3.810375 Db
3.810375 4.691165 Gb
4.691165 5.571955 Ab
5.571955 7.314387 Db
7.314387 10.733990 Db
10.733990 16.004920 Db
16.004920 17.769637 Ab
17.769637 22.947687 Ab
22.947687 24.642743 Db
24.642743 28.079297 Db
28.079297 29.809183 Db:7
29.809183 31.492630 Gb
31.492630 32.374988 Gb
32.374988 33.245736 E:dim7/b3
33.245736 34.104875 Db/5
34.104875 34.905963 Bb:7
34.905963 35.765102 Eb:9
35.765102 36.612630 Ab
36.612630 38.400566 Db
38.400566 41.755850 Bb:min
41.755850 43.427687 Ab
43.427687 45.134353 Bb:min
45.134353 48.512857 Bb:min
48.512857 51.961020 F
51.961020 55.362743 Bb:min
55.362743 58.718027 Eb:min
58.718027 60.436303 Gb
60.436303 62.096530 Ab
62.096530 63.814807 Db
63.814807 67.297800 Ab
67.297800 72.371360 Db
72.371360 74.066417 Ab
74.066417 79.209637 Ab:7
79.209637 80.881473 Db
80.881473 84.213537 Db
84.213537 85.955034 Db:7
85.955034 87.592040 Gb
87.592040 88.497619 Gb
88.497619 89.333537 E:dim7/b3
89.333537 90.181065 Db/5
90.181065 91.005374 Bb:7
91.005374 91.887732 Eb:9
91.887732 92.712040 Ab
92.712040 94.488367 Db
94.488367 97.832040 Bb:min
97.832040 99.527097 Ab
99.527097 101.233764 Bb:min
101.233764 104.577437 Bb:min
104.577437 107.932721 F
107.932721 111.311224 Bb:min
111.311224 114.666507 Eb:min
114.666507 116.338344 Gb
116.338344 118.068231 Ab
118.068231 119.786507 Db
119.786507 123.211451 Ab
123.211451 128.343061 Db
128.343061 130.014897 Ab
130.014897 135.134897 Ab
135.134897 136.806734 Db
136.806734 140.173628 Db
140.173628 141.822244 Db:7
141.822244 143.505691 Gb
143.505691 144.364829 Gb
144.364829 145.212358 E:dim7/b3
145.212358 146.048276 Db/5
146.048276 146.872585 Bb:7
146.872585 147.743333 Eb:9
147.743333 148.567641 Ab
148.567641 150.343968 Db
150.343968 153.757301 Db
153.757301 154.604829 Gb
154.604829 155.429138 Ab
155.429138 155.823260 Db
155.823260 156.321098 Ab
156.321098 156.799788 Db
156.799788 157.727347 N
--------
