original music: The Beatles - You're Going To Lose That Girl.txt
original tags: ['60s', 'classic rock', 'rock', 'The Beatles', 'british']
original wiki: None
0.000000 0.459543 N
0.459543 0.714724 B:(6)
0.714724 0.950652 B:(1)
0.950652 1.168004 B:(6)
1.168004 3.082765 E
3.082765 4.952222 C#:min
4.952222 6.833038 F#:min9
6.833038 8.771904 B
8.771904 10.583061 E
10.583061 12.405827 G#
12.405827 14.228594 F#:min
14.228594 16.097800 B
16.097800 17.850907 E
17.850907 19.685283 G#
19.685283 21.496439 F#:min
21.496439 23.330816 B
23.330816 25.165192 E
25.165192 26.964739 C#:min
26.964739 28.764285 F#:min9
28.764285 30.552222 B
30.552222 32.386598 E
32.386598 34.209365 G#
34.209365 36.008911 F#:min
36.008911 37.820068 B
37.820068 39.608004 E
39.608004 41.407551 G#
41.407551 43.183877 F#:min
43.183877 45.087913 B
45.087913 46.887460 E
46.887460 48.733446 C#:min
48.733446 50.521383 F#:min9
50.521383 52.344149 B
52.344149 54.190136 F#:min
54.190136 55.943242 D
55.943242 57.824058 G
57.824058 59.611995 C
59.611995 63.245918 G
63.245918 65.045464 G
65.045464 66.833401 C
66.833401 68.679387 F
68.679387 70.478934 E
70.478934 72.278480 G#
72.278480 74.043197 F#:min
74.043197 75.947233 B
75.947233 77.746780 E
77.746780 79.569546 G#
79.569546 81.357482 F#:min
81.357482 83.215079 B
83.215079 85.072675 E
85.072675 86.930272 C#:min
86.930272 88.718208 F#:min9
88.718208 90.552585 B
90.552585 92.340521 F#:min
92.340521 94.140068 D
94.140068 95.997664 G
95.997664 97.808820 C
97.808820 101.407913 G
101.407913 103.253900 G
103.253900 105.007006 C
105.007006 106.852993 F
106.852993 108.675759 E
108.675759 110.498526 G#
110.498526 112.321292 F#:min
112.321292 114.144058 B
114.144058 115.943605 E
115.943605 117.812811 G#
117.812811 119.612358 F#:min
119.612358 121.469954 B
121.469954 123.269501 E
123.269501 125.138707 C#:min
125.138707 126.949863 F#:min9
126.949863 128.819070 B
128.819070 130.688276 F#:min
130.688276 131.570634 D
131.570634 132.476213 A
132.476213 135.890597 E
135.890597 140.460408 N

relative music: The Beatles - Your Mother Should Know.txt
relative tags: ['classic rock', '60s', 'rock', 'The Beatles', 'pop']
relative wiki: "Your Mother Should Know" is a song by The Beatles from their 1967 record Magical Mystery Tour, released in the U.S. as an LP on 27 November 1967 and in the UK as a double-EP on 8 December 1967. It was written by Paul McCartney (credited to Lennon/McCartney). McCartney said he wrote it as a production number for the movie Magical Mystery Tour, supporting an old-fashioned dance segment that starts with the Beatles coming down a grand staircase in white tuxedoes. <a href="http://www.last.fm/music/The+Beatles/_/Your+Mother+Should+Know">Read more on Last.fm</a>.
0.000000 0.612724 N
0.612724 4.806050 A:min
4.806050 6.820811 A:min
6.820811 8.903639 F:maj7
8.903639 10.937548 A/5
10.937548 12.851927 D:min
12.851927 14.848843 G:7
14.848843 15.824081 C
15.824081 16.810929 C/7
16.810929 18.783807 A:7
18.783807 20.769931 D:7
20.769931 22.778458 G:7
22.778458 24.845034 C
24.845034 26.946439 E
26.946439 28.978185 A:min
28.978185 31.056371 F:maj7
31.056371 33.111337 A
33.111337 35.177913 D:min
35.177913 37.244489 G:7
37.244489 38.219727 C
38.219727 39.218185 C/7
39.218185 41.319591 A:7
41.319591 43.339727 D:7
43.339727 45.371473 G:7
45.371473 47.449659 C
47.449659 50.572743 E
50.572743 52.650929 A:min
52.650929 54.740725 F:maj7
54.740725 56.749251 D:min/b3
56.749251 58.734557 G:9(*3)
58.734557 60.812743 C
60.812743 62.821269 E
62.821269 64.853015 A:min
64.853015 66.907981 F:maj7
66.907981 68.962947 A
68.962947 70.994693 D:min
70.994693 72.991609 G:7
72.991609 74.059727 C
74.059727 75.023356 C/7
75.023356 77.089931 A
77.089931 79.075238 D:7
79.075238 81.118594 G:7
81.118594 83.161950 C
83.161950 85.240136 A
85.240136 87.260272 D:7
87.260272 89.268798 G:7
89.268798 91.346984 C
91.346984 94.458458 E
94.458458 96.559863 A:min
96.559863 98.556780 F:maj7
98.556780 100.582402 D:min/b3
100.582402 102.585442 G:9(*3)
102.585442 104.605578 C
104.605578 106.672154 E
106.672154 108.680680 A:min
108.680680 110.700816 F:maj7
110.700816 112.755782 A/5
112.755782 114.787528 D:min
114.787528 116.842494 G:7
116.842494 117.806122 C
117.806122 118.827800 C/7
118.827800 120.871156 A
120.871156 122.856462 D:7
122.856462 124.934648 G:7
124.934648 126.943174 C
126.943174 128.986530 A
128.986530 131.029886 D:7
131.029886 133.061632 G:7
133.061632 135.093378 C
135.093378 137.171564 A
137.171564 139.168480 D:7
139.168480 141.223446 G:7
141.223446 145.200598 C
145.200598 149.603265 N
--------
